addr_street,number_of_parks
1380 MADISON STREET,6
1384 LEXINGTON AVENUE,1
1388 2 AVENUE,1
139 70 STREET,7
139 BERKELEY PLACE,2
139 COLUMBIA STREET,9
139 EAST 110 STREET,10
139 EMERSON PLACE,7
139 FRANKLIN STREET,20
139 SKILLMAN AVENUE,11
139 WEST 78 STREET,12
139 WOOSTER STREET,18
139-06 34 ROAD,5
139-09 34 ROAD,5
139-55 35 AVENUE,5
1391 DEAN STREET,6
1393 DEAN STREET,7
1396 MADISON AVENUE,3
1397 GREENE AVENUE,5
14 BREVOORT PLACE,3
14 DELANCEY STREET,13
14 DUNHAM PLACE,5
14 EAST 33 STREET,13
14 EAST 4 STREET,15
14 EAST 55 STREET,2
14 EAST 62 STREET,4
14 EAST 76 STREET,1
14 EAST 80 STREET,3
14 FT GREENE PLACE,12
14 HOPE STREET,9
14 JAY STREET,20
14 LEONARD STREET,7
14 MAIDEN LANE,20
14 MORTON STREET,15
14 MURRAY STREET,20
14 SHERMAN STREET,9
14 SICKLES STREET,12
14 SKILLMAN AVENUE,12
14 SPENCER STREET,5
14 ST FELIX STREET,12
14 STOCKHOLM STREET,3
14 THAYER STREET,9
14 WEST 14 STREET,16
14-15 31 AVENUE,5
14-20 30 AVENUE,8
14-20 31 DRIVE,6
14-23 BROADWAY,5
14-24 30 AVENUE,9
14-25 BROADWAY,5
14-31 27 AVENUE,8
14-31 28 AVENUE,7
14-31 30 DRIVE,6
14-31 31 DRIVE,4
14-31 ASTORIA BOULEVARD,9
14-33 33 ROAD,4
14-34 31 AVENUE,5
14-35 33 ROAD,4
14-35 BROADWAY,6
14-38 28 AVENUE,8
14-38 30 DRIVE,6
14-43 28 AVENUE,7
14-44 31 DRIVE,4
14-48 30 DRIVE,7
140 4 AVENUE,9
140 7 AVENUE,12
140 BAY RIDGE PARKWAY,4
140 EAST 16 STREET,13
140 EAST 56 STREET,3
140 FROST STREET,13
140 HOPE STREET,13
140 MARTENSE STREET,5
140 MILTON STREET,3
140 ORCHARD ST,14
140 PARK PLACE,5
140 RIVERSIDE BOULEVARD,2
140 ST JAMES PLACE,10
140 VAN CORTLANDT AVENUE WEST,8
140 WEST 10 STREET,17
140 WEST 130 STREET,11
140 WEST 15 STREET,12
140 WEST 22 STREET,10
140 WEST 4 STREET,16
140 WEST 55 STREET,1
140 WEST 79 STREET,1
140 WYCKOFF AVENUE,3
140-17 84 DRIVE,4
140-18 ASH AVENUE,5
140-21 32 AVENUE,5
140-26 FRANKLIN AVENUE,6
140-60 BEECH AVENUE,5
1400 5 AVENUE,8
1400 6 AVENUE,4
1400 YORK AVENUE,1
1402 METROPOLITAN AVENUE,7
1402 WEST 4 STREET,4
1404 BROOKLYN AVENUE,2
1405 5 AVENUE,7
1405 71 STREET,2
1405 BROOKLYN AVENUE,2
1405 HANCOCK STREET,3
1406 BROOKLYN AVENUE,2
1406 NEW YORK AVENUE,2
1408 MADISON AVENUE,12
1409 FULTON STREET,4
1409 WEST 7 STREET,3
140A LEXINGTON AVENUE,6
141 2 AVENUE,14
141 9 STREET,6
141 ALLEN STREET,12
141 CONSELYEA STREET,12
141 DIVISION STREET,11
141 EAST 17 STREET,14
141 EAST 19 STREET,2
141 EAST 39 STREET,13
141 EAST 56 STREET,3
141 EAST 89TH ST,2
141 MARTENSE STREET,5
141 MONTROSE AVENUE,5
141 MULBERRY STREET,20
141 NORTH 9 STREET,11
141 WEST 74 STREET,14
141-18 CHERRY AVENUE,4
141-21 UNION TURNPIKE,5
141-25 NORTHERN BOULEVARD,6
141-30 PERSHING CRESCENT,4
141-35 85 ROAD,3
141-40 84 DRIVE,4
141-50 85 ROAD,3
1410 PUTNAM AVENUE,6
1410A PUTNAM AVENUE,6
1411 HERKIMER STREET,5
1412 OCEAN AVENUE,1
1413 NEW YORK AVENUE,2
1418 DE KALB AVENUE,4
141A NELSON STREET,8
142 14 STREET,6
142 DUANE STREET,20
142 EAST 49 STREET,2
142 EAST 56 STREET,3
142 GRATTAN STREET,3
142 HENRY STREET,13
142 NORTH 6 STREET,12
142 PROSPECT PARK WEST,8
142 STOCKHOLM STREET,4
142 SULLIVAN STREET,17
142 WEST 119 STREET,11
142 WILSON AVENUE,7
142-01 41 AVENUE,7
142-02 84 DRIVE,3
142-10 ROOSEVELT AVENUE,7
142-19 BARCLAY AVENUE,7
142-29 37 AVENUE,7
1420 LINCOLN PLACE,3
1420 YORK AVENUE,3
1422 GREENE AVENUE,5
1423 BROADWAY,2
1424 BAY RIDGE PARKWAY,1
1425 3 AVENUE,1
1427 TAYLOR AVENUE,8
143 HUNTINGTON STREET,7
143 MONROE STREET,6
143 MONTAGUE STREET,20
143 NEWEL STREET,6
143 NORTH 11 STREET,10
143 RICHARDSON STREET,13
143 SKILLMAN AVENUE,11
143 WAVERLY PLACE,17
143 WEST 30 STREET,9
143 WEST 96 STREET,5
143-07 SANFORD AVENUE,8
143-08 ROOSEVELT AVENUE,9
143-25 41 AVENUE,8
143-43 41 AVENUE,7
143-45 SANFORD AVENUE,6
1431 1 AVENUE,2
1431 BUSHWICK AVENUE,5
1432 PITKIN AVENUE,5
1434 DE KALB AVENUE,4
1437 WEST 4 STREET,2
1438 3 AVENUE,1
1438 BUSHWICK AVENUE,5
1438 EAST 4 STREET,2
1439 MYRTLE AVENUE,5
144 MARTENSE STREET,5
144 NORTH 8 STREET,13
144 SUMPTER STREET,7
144 WEST 109 STREET,12
144-37 79 AVENUE,2
1440 OCEAN PARKWAY,3
1449 BUSHWICK AVENUE,5
145 4 AVENUE,13
145 BATTERY AVENUE,4
145 COURT STREET,11
145 EAST 15 STREET,13
145 EAST 29 STREET,11
145 EAST 48 STREET,3
145 HENRY STREET,20
145 HUDSON STREET,20
145 KENILWORTH PLACE,2
145 LINCOLN ROAD,5
145 SULLIVAN STREET,16
145 WAVERLY PLACE,17
145 WEST 14 STREET,12
145 WEST 21 STREET,11
145 WEST 58 STREET,4
145 WEST 79 STREET,1
145-55 FARMERS BOULEVARD,1
1450 2 AVENUE,2
1452 2 AVENUE,1
1452 CARROLL STREET,1
1453 BUSHWICK AVENUE,5
1456 ST JOHN'S PLACE,2
1457 3 AVENUE,1
1459 BUSHWICK AVENUE,5
1459 FULTON STREET,7
146 1 AVENUE,14
146 92 STREET,3
146 DUANE STREET,20
146 EAST BROADWAY,11
146 ORCHARD STREET,15
146 SOUTH 4TH STREET,9
146 WEST 133 STREET,12
146 WEST 57 STREET,2
146-26 35 AVENUE,3
146-39 14 AVENUE,1
1460 CARROLL STREET,1
1460 LEXINGTON AVENUE,9
1461 76 STREET,1
1462 68 STREET,2
1462 73 STREET,2
1463 EAST 73 STREET,3
1465 5 AVENUE,8
1467 BEDFORD AVENUE,1
1469 PRESIDENT STREET,3
147 EAST 37 STREET,13
147 MONTAGUE STREET,20
147 NORTH 6 STREET,12
147 REMSEN STREET,18
147 ROGERS AVENUE,0
147 SOUTH 4 STREET,9
147 WEST 111 STREET,10
147 WEST 79 STREET,2
147 WEST 88 STREET,2
147 WITHERS STREET,12
147-14 84 AVENUE,2
147-48 84 DRIVE,1
1470 OCEAN PARKWAY,1
1474 BUSHWICK AVENUE,6
1475 PRESIDENT STREET,3
1476 FULTON STREET,8
1479 DAHILL ROAD,1
1479 EAST 34 STREET,5
148 EAST 24 STREET,13
148 EAST 84 STREET,2
148 EAST 98 STREET,12
148 EAST BROADWAY,11
148 HULL STREET,7
148 LINDEN BOULEVARD,4
148 LUQUER STREET,7
148 MESEROLE STREET,6
148 WEST 111 STREET,12
148 WEST 142 STREET,6
148 WEST 68 STREET,2
148 WEST 76 STREET,12
1481 NOSTRAND AVENUE,3
1484 PROSPECT PLACE,6
1485 5 AVENUE,8
1485 FULTON STREET,8
1487 BROADWAY,4
1488 BUSHWICK AVENUE,6
1488 FULTON STREET,9
148A MADISON STREET,10
149 31 STREET,4
149 96 STREET,3
149 AINSLIE STREET,13
149 BRIGHTON 11 STREET,4
149 BROADWAY,11
149 CLARKSON AVENUE,4
149 ORCHARD STREET,15
149 SPRING STREET,14
149 WEST 120 STREET,11
149 WEST 80 STREET,1
149-47 22 AVENUE,3
1490 OCEAN AVENUE,3
1493 BROADWAY,11
1494 OCEAN AVENUE,3
1496 FIFTH AVENUE,10
1498 DE KALB AVENUE,4
1499 GATES AVENUE,6
15 ABINGDON SQUARE,17
15 BROAD STREET,20
15 CENTRAL PARK WEST,15
15 CHARLES STREET,14
15 CLIFF STREET,19
15 EAST 11 STREET,18
15 EAST 26 STREET,11
15 EAST 69 STREET,4
15 EAST 76 STREET,3
15 GATES AVENUE,11
15 JACKSON STREET,8
15 KINGSLAND AVENUE,7
15 PARK ROW,20
15 RENWICK STREET,13
15 ROEBLING STREET,9
15 SOUTH OXFORD STREET,12
15 WEST 120 STREET,10
15 WEST 17 STREET,10
15 WEST 53 STREET,2
15 WEST 55 STREET,3
15 WEST 63 STREET,3
15 WEST 75 STREET,2
15 WILLIAM STREET,20
150 4 AVENUE,7
150 88 STREET,1
150 96 STREET,6
150 CHARLES STREET,15
150 COLUMBUS AVENUE,3
150 EAST 18 STREET,2
150 EAST 30 STREET,11
150 EAST 34 STREET,14
150 EAST 39 STREET,13
150 EAST 3RD STREET,14
150 EAST 44 STREET,2
150 EAST 85 STREET,2
150 EAST 87 STREET,2
150 GRAHAM AVENUE,7
150 HENRY STREET,20
150 JAVA STREET,6
150 JOHNSON AVENUE,5
150 LUDLOW STREET,15
150 MARTENSE STREET,5
150 MYRTLE AVENUE,13
150 NASSAU STREET,19
150 NEWEL STREET,5
150 NORTH 12TH STREET,10
150 NORTH 5 STREET,13
150 SULLIVAN STREET,18
150 WEST 12 STREET,12
150 WEST 225 STREET,13
150 WEST 51 STREET,1
150 WEST 56 STREET,2
150 WEST 92 STREET,6
150-09 NORTHERN BOULEVARD,2
1500 BUSHWICK AVENUE,6
1500 LEXINGTON AVENUE,11
1501 ATLANTIC AVENUE,7
1501 METROPOLITAN AVENUE,7
1501 VOORHIES AVENUE,4
1502 8 AVENUE,9
1505 GATES AVENUE,6
1506 NEW YORK AVENUE,2
1508 BEDFORD AVENUE,2
1509 EAST 17 STREET,1
1509 LEXINGTON AVENUE,12
1509 NOSTRAND AVENUE,2
151 AVENUE A,14
151 BOERUM STREET,6
151 CARROLL STREET,7
151 COLUMBIA HEIGHTS,20
151 EAST 30 STREET,13
151 EAST 58 STREET,5
151 EAST 85 STREET,2
151 EAST 90 STREET,2
151 NOLL STREET,4
151 STANTON STREET,13
151 WEST 16 STREET,12
151 WEST 17 STREET,16
151 WEST 21 STREET,11
151 WEST 72 STREET,17
151 WEST 76 STREET,12
151-09 34 AVENUE,3
151-10 35 AVENUE,3
151-155 EAST 31 STREET,16
151-49 20 ROAD,2
1510 CARROLL STREET,1
1510 DE KALB AVENUE,3
1510 LEXINGTON AVENUE,13
1510 YORK AVENUE,2
1517 OCEAN AVENUE,3
1517 PARK PLACE,5
1519 FULTON STREET,8
152 5 AVENUE,5
152 BROADWAY,11
152 DECATUR STREET,6
152 EAST 35 STREET,12
152 EAST 84 STREET,2
152 NORTH 8 STREET,11
152 SHERMAN AVENUE,10
152 WEST 75 STREET,15
152 WOODPOINT ROAD,9
152-09 88 AVENUE,3
1520 CARROLL STREET,1
1524 SHEEPSHEAD BAY ROAD,4
1526 ST NICHOLAS AVENUE,9
1529 FLATBUSH AVENUE,2
153 EAST 18 STREET,14
153 MANHATTAN AVENUE,6
153 NORFOLK STREET,13
153 OCEAN AVENUE,11
153 REMSEN STREET,19
153 WEST 80 STREET,1
153-25 77 ROAD,1
153-30 89 AVENUE,2
153-31 75 AVENUE,3
153-33 SANFORD AVENUE,3
1532 ST JOHN'S PLACE,4
1535 85 STREET,1
1535 EAST 14 STREET,1
1538 EAST 14 STREET,2
1539 PARK PLACE,4
154 ATTORNEY STREET,13
154 EAST 106 STREET,10
154 MONTAGUE STREET,20
154 NORTH 8 STREET,11
154 SOUTH 2 STREET,9
154 WEST 27 STREET,10
154 WEST 77 STREET,13
154 WOODWARD AVENUE,1
1540 GATES AVENUE,7
1542 61 STREET,1
1543 EAST 19 STREET,1
1543 WEST 1 STREET,1
1545 PACIFIC STREET,7
1545 RHINELANDER AVENUE,1
1546 BATH AVENUE,2
154A 18 STREET,5
155 BAY 32 STREET,6
155 BAY STREET,6
155 EAST 29 STREET,11
155 EAST 34 STREET,13
155 EAST 52 STREET,2
155 HENRY STREET,20
155 MANHATTAN AVENUE,6
155 MESEROLE STREET,7
155 PERRY STREET,14
155 RIVERSIDE DRIVE,7
155 SOUTH 2 STREET,9
155 WEST 18 STREET,13
155 WEST 68 STREET,2
155 WEST 70 STREET,3
155 WEST 71 STREET,18
155 WEST 76 STREET,11
1550 84 STREET,1
1552 PRESIDENT STREET,2
1553 OCEAN AVENUE,1
1555 EAST 13 STREET,2
1555 EAST 19 STREET,1
1557 EASTERN PARKWAY,5
1557 LEXINGTON AVENUE,11
1559 59 STREET,1
156 EAST 7 STREET,13
156 GRAND STREET,9
156 HOPE STREET,13
156 IRVING AVENUE,4
156 KNICKERBOCKER AVENUE,3
156 PRINCE STREET,18
156 SHERMAN AVENUE,10
156 WEST 123 STREET,10
156 WEST 22 STREET,11
156 WEST 75 STREET,15
156-08 RIVERSIDE DRIVE WEST,7
156-11 79 STREET,0
156-158 2 AVENUE,14
156-53 75 STREET,2
1561 PACIFIC STREET,7
1565 LINCOLN PLACE,4
1565 ODELL STREET,5
1566 PACIFIC STREET,7
1566 PROSPECT PLACE,3
157 2 AVENUE,14
157 COLUMBIA HEIGHTS,20
157 CORNELIA STREET,7
157 DANIEL LOW TERRACE,7
157 EAST 32 STREET,12
157 EAST 33 STREET,13
157 EAST 57 STREET,3
157 EAST 72 STREET,1
157 FRANKLIN STREET,5
157 NORTH 5 STREET,13
157 WEST 57 STREET,3
157-58 22 AVENUE,2
1570 EAST 14 STREET,2
1575 UNIONPORT ROAD,9
1576 1 AVENUE,2
1579 BAY RIDGE PARKWAY,2
158 FRANKLIN STREET,20
158 GARFIELD PLACE,4
158 HAGAMAN PLACE,3
158 INDIA STREET,5
158 MOTT STREET,14
158 NORTH 4 STREET,16
158 POWERS STREET,12
158 PRESIDENT STREET,6
158 ROGERS AVENUE,1
158 UTICA AVENUE,5
158 WEST 83 STREET,0
1580 3 AVENUE,2
1580 PRESIDENT STREET,4
1581 PRESIDENT STREET,5
1582 UNION STREET,5
1585 BERGEN STREET,5
1588 PRESIDENT STREET,4
1589 PRESIDENT STREET,5
159 1/2 7 AVENUE SOUTH,14
159 74 STREET,6
159 MADISON AVENUE,14
159 NEWEL STREET,4
159 W 118TH ST,11
159 WEST 129 STREET,10
159 WEST 53 STREET,1
159 WEST 71 STREET,18
159 WEST 78 STREET,12
159 WEST 80 STREET,1
159 WINTHROP STREET,4
1593 2 AVENUE,2
1593 STERLING PLACE,4
1595 2 AVENUE,2
1595 EAST 19 STREET,1
1595 LEXINGTON AVENUE,12
16 3 STREET,8
16 DEVOE STREET,12
16 EAST 129 STREET,14
16 EAST 62 STREET,4
16 JUDGE STREET,8
16 MAUJER STREET,12
16 MONITOR STREET,11
16 REMSEN STREET,19
16 SPRING STREET,16
16 WARREN STREET,20
16 WEST 40 STREET,2
16-36 PUTNAM AVENUE,4
16-60 BELL BOULEVARD,2
160 5 AVENUE,5
160 88 STREET,1
160 BEDFORD AVENUE,13
160 BLEECKER STREET,16
160 CENTRAL PARK SOUTH,3
160 EAST 22ND STREET,12
160 EAST 3 STREET,11
160 EAST 38 STREET,12
160 EAST 84 STREET,2
160 EAST 88 STREET,2
160 GRAHAM AVENUE,6
160 LEROY STREET,13
160 MOTT STREET,14
160 OCEAN PARKWAY,5
160 PARKSIDE AVENUE,10
160 RIVERSIDE BOULEVARD,2
160 SCHOLES STREET,7
160 SHERMAN AVENUE,9
160 WEST 12TH STREET,14
160 WEST 24 STREET,11
160 WEST 66 STREET,2
160 WEST STREET,6
1600 BEVERLY ROAD,0
1600 BROADWAY,9
1600 CATON AVENUE,7
1600 OCEAN PARKWAY,3
1601 OCEAN PARKWAY,3
1601-1605 PUTNAM AVENUE,5
1602 AVENUE I,1
1602 UNION STREET,6
1605 2 AVENUE,1
1608 UNION STREET,7
161 70 STREET,5
161 ATTORNEY STREET,12
161 EAST 110 STREET,11
161 EAST 32 STREET,1
161 EAST 74 STREET,1
161 MAUJER STREET,10
161 NELSON STREET,7
161 NORTH 4 STREET,14
161 WASHINGTON AVENUE,8
161 WEST 61 STREET,2
161 WINTHROP STREET,4
161-33 99 STREET,4
1610 DE KALB AVENUE,4
1610 EASTERN PARKWAY,4
1615 ST MARKS AVENUE,10
1619 THIRD AVENUE,2
162 1 AVENUE,14
162 16 STREET,6
162 BEDFORD AVENUE,13
162 CLERMONT AVENUE,10
162 EAGLE STREET,7
162 EAST 81 STREET,2
162 NEWTON STREET,13
162 NORTH 12 STREET,10
162 ORCHARD STREET,14
162 WEST 54 STREET,1
162 WEST 56 STREET,1
162 WEST 80 STREET,11
162 WILSON AVENUE,5
162-15 HIGHLAND AVENUE,3
1620 OCEAN AVENUE,1
1623 3 AVENUE,1
1625 EAST 13 STREET,3
1625 EAST 32 STREET,5
1625 LEXINGTON AVENUE,10
1625 PUTNAM AVENUE,5
1625 UNION STREET,5
1626 2 AVENUE,2
1626 8 AVENUE,9
1628 UNION STREET,6
163 CARLTON AVENUE,9
163 CORNELIA STREET,7
163 EAST 107 STREET,8
163 EAST 87 STREET,2
163 JACKSON STREET,14
163 MOTT STREET,15
163 NORTH 6TH STREET,13
163 RIVINGTON STREET,12
163 SOUTH 1 STREET,13
163 ST NICHOLAS AVENUE,3
163 VERNON AVENUE,7
163 WASHINGTON AVENUE,8
163 WEST 80 STREET,1
1631 ST JOHN'S PLACE,4
1633 MACOMBS ROAD,12
1635 LEXINGTON AVENUE,10
1635-1641 PUTNAM AVENUE,4
1637 NOSTRAND AVENUE,1
1638 8 AVENUE,9
163A 14 STREET,7
164 ATTORNEY STREET,13
164 CENTRAL AVENUE,3
164 DOUGLASS STREET,9
164 DRIGGS AVENUE,11
164 EAST 112 STREET,11
164 EAST 91 STREET,2
164 KENT AVENUE,9
164 LAFAYETTE AVENUE,10
164 SCHOLES STREET,6
164 STANTON STREET,12
164 STUYVESANT AVENUE,4
1640 3 AVENUE,2
1640 OCEAN PARKWAY,3
1641 BROADWAY,7
1641 THIRD AVENUE,2
1642 CORNELIA STREET,4
1645 YORK AVENUE,2
1647 PARK PLACE,4
165 23 STREET,3
165 CHRISTOPHER STREET,17
165 CONCORD STREET,11
165 COVERT STREET,5
165 ELIZABETH STREET,15
165 HAVEMEYER STREET,7
165 HENRY STREET,14
165 MONTROSE AVENUE,6
165 SEAMAN AVENUE,8
165 WARREN STREET,14
1655 FLATBUSH AVENUE,1
1655 PALMETTO STREET,6
166 EAST 108 STREET,8
166 EAST 82 STREET,2
166 HALSEY STREET,1
166 HERKIMER STREET,3
166 MONTAGUE STREET,20
166 ROGERS AVENUE,1
166 SMITH STREET,7
166 WEST 123 STREET,11
166 WEST 18TH STREET,12
166 WEST 4 STREET,13
166 WEST 72 STREET,17
166-05 HIGHLAND AVENUE,2
1660 CORNELIA STREET,4
1661 11 AVENUE,13
1661 PARK AVENUE,11
1666 DEAN STREET,5
1669 70 STREET,2
1669 PRESIDENT STREET,3
167 32 STREET,4
167 CLERMONT AVENUE,10
167 EAST 87 STREET,1
167 GRAHAM AVENUE,6
167 MOTT STREET,14
167 PARK PLACE,7
167 SUNNYSIDE AVENUE,4
167 WEST 85 STREET,0
1670 GATES AVE,6
1671 WEST 4 STREET,1
1672 GATES AVENUE,6
1673 NOSTRAND AVENUE,1
1674 PUTNAM AVENUE,3
1677 LEXINGTON AVENUE,9
168 THROOP AVENUE,5
168 WEST 86 STREET,0
1680 YORK AVENUE,2
1683 55 STREET,4
169 23 STREET,3
169 5 AVENUE,3
169 9 STREET,6
169 EAST 101 STREET,12
169 EAST 102 STREET,10
169 HUDSON STREET,20
169 KINGSTON AVENUE,5
169 SUFFOLK STREET,11
1692 2 AVENUE,2
1695 3 AVENUE,7
1699 LEXINGTON AVENUE,8
17 ANN STREET,20
17 BOND STREET,14
17 CONSELYEA STREET,9
17 CORNELIA STREET,16
17 EAST 17 STREET,7
17 GREENWICH AVENUE,17
17 MARCONI PLACE,8
17 MONITOR STREET,11
17 SOUTH WILLIAM STREET,20
17 ST MARK'S PLACE,15
17 STUYVESANT OVAL,9
17 STUYVESANT STREET,13
17 WHITSON STREET,3
17-14 LINDEN STREET,4
17-17 CLINTONVILLE STREET,1
17-17 LINDEN STREET,4
17-17 STANHOPE STREET,2
170 AMSTERDAM AVENUE,2
170 AVENUE B,10
170 BEDFORD AVENUE,11
170 EAST 100 STREET,10
170 EAST 19 STREET,2
170 EAST 2 STREET,12
170 EAST 83 STREET,2
170 EAST 87 STREET,2
170 EAST END AVENUE,2
170 HAWTHORNE STREET,4
170 NORTH 5 STREET,10
170 PARKSIDE AVENUE,10
170 TILLARY STREET,10
170 WEST 23 STREET,12
170 WEST 74 STREET,16
170 WOODRUFF AVENUE,9
1700 LEXINGTON AVENUE,9
1700 YORK AVENUE,2
1704 PITMAN AVENUE,1
1705 BAY RIDGE PARKWAY,3
1705 CATON AVENUE,7
1705 ELM AVENUE,1
1705 LEXINGTON AVENUE,9
1705 PRESIDENT STREET,2
1706 8 AVENUE,10
1707 DITMAS AVENUE,0
1709 2 AVENUE,2
171 ADELPHI STREET,7
171 AINSLIE STREET,9
171 AVENUE A,15
171 BAYARD STREET,14
171 BLEECKER STREET,13
171 EAST 117 STREET,14
171 EAST 74 STREET,0
171 EAST 84 STREET,2
171 HESTER STREET,18
171 MESEROLE STREET,6
171 WEST 81 STREET,0
171 WEST 83 STREET,0
1710 CARROLL STREET,2
1710 CATON AVENUE,7
1713 EAST 14 STREET,3
1714 66 STREET,3
1715 VOORHIES AVENUE,4
1716 EAST 12 STREET,3
1716 GROVE STREET,4
1717 GREENE AVENUE,3
172 EAST 4 STREET,13
172 HALSEY STREET,1
172 MADISON AVENUE,13
172 MONTAGUE STREET,18
172 RIVINGTON STREET,12
1720 PUTNAM AVENUE,4
1721 LEXINGTON AVENUE,8
1721 WOODBINE STREET,3
1722 GREENE AVENUE,4
1723 WEST 12 STREET,2
1727 BROADWAY,7
173 7 AVENUE,6
173 HART STREET,4
173 IRVING AVENUE,4
173 MARTENSE STREET,4
173 PROSPECT AVENUE,7
173 UTICA AVENUE,3
173 WEST 78 STREET,12
1733 2 AVENUE,2
1735 CATON AVENUE,7
1736 PACIFIC STREET,5
1737 EAST 27 STREET,2
174 EAST 2 STREET,11
174 EAST 82 STREET,2
174 EAST 85 STREET,2
174 ELIZABETH STREET,16
174 LINDEN STREET,5
174 NOLL STREET,4
1742 1 AVENUE,2
1744 2 AVENUE,2
1745 EAST 12 STREET,3
1749 2 AVENUE,2
175 COVERT STREET,4
175 EAST 101 STREET,10
175 EAST 105 STREET,9
175 FRANKLIN STREET,20
175 HAWTHORNE STREET,4
175 KENT AVENUE,7
175 OCEAN PARKWAY,5
175 ORCHARD STREET,14
175 VANDERBILT AVENUE,10
175 WEST 12 STREET,13
175 WEST 72ND STREET,15
175 WEST 87TH STREET,10
175 WEST 95 STREET,5
175-31-175-39 DALNY ROAD,3
1750 DEAN STREET,6
1752 DEAN STREET,6
1752 MONROE AVENUE,11
1752 UNION STREET,2
1754 2 AVENUE,2
1755 MADISON AVENUE,9
176 14 STREET,7
176 7 AVENUE,12
176 BLEECKER STREET,13
176 EAST 2 STREET,11
176 GELSTON AVENUE,7
176 JOHNSON STREET,10
176 SCHOLES STREET,7
176-26 SUNBURY ROAD,3
1760 1 AVENUE,2
1760 2 AVENUE,2
1762 DEAN STREET,6
1762 WEST 5 STREET,1
177 16 STREET,6
177 23 STREET,3
177 5 AVENUE,3
177 9TH AVENUE,12
177 AVENUE B,10
177 CONCORD STREET,11
177 COURT STREET,10
177 EAST 75TH STREET,0
177 EAST 93 STREET,2
177 HOPKINS STREET,6
177 MALCOLM X BOULEVARD,2
177 MAUJER STREET,11
177 RICHARDS STREET,6
177 SKILLMAN AVENUE,11
177-30 WEXFORD TERRACE,3
1770 MADISON AVENUE,7
1771 1 AVENUE,2
1774 EAST 17 STREET,3
1776 BEDFORD AVENUE,5
1777 LEXINGTON AVENUE,11
1779 UNION STREET,4
178 KINGSLAND AVENUE,6
178 LEXINGTON AVENUE,16
178 MESEROLE AVENUE,3
178-60 WEXFORD TERRACE,3
1788 3 AVENUE,10
1789 MONROE AVENUE,10
179 19 STREET,5
179 GRAND STREET,18
179 PARK PLACE,2
179 RUSSELL STREET,8
179 SULLIVAN STREET,15
179 WOODPOINT ROAD,8
1790 3 AVENUE,10
1790 PROSPECT AVENUE,14
1791 NEW YORK AVENUE,2
1793 RIVERSIDE DRIVE,8
1795 AMSTERDAM AVENUE,12
1796 3 AVENUE,9
18 EAST 12 STREET,15
18 EAST 125 STREET,15
18 HART STREET,6
18 LEONARD STREET,20
18 RICHARDSON STREET,9
18 STANHOPE STREET,5
18 WEST 12 STREET,17
18 WEST 121 STREET,11
18 WEST 48 STREET,8
18-02 25 ROAD,5
18-10 27 AVENUE,8
18-11 DITMARS BOULEVARD,3
18-17 CLINTONVILLE STREET,1
18-22 ASTORIA PARK SOUTH,5
18-24 PALMETTO STREET,3
18-27 21 ROAD,2
18-62 MENAHAN STREET,3
18-74 HIMROD STREET,2
180 5 AVENUE,5
180 72 STREET,7
180 AVENUE OF THE AMERICAS,16
180 BAINBRIDGE STREET,6
180 CLAREMONT AVENUE,5
180 EAST 93 STREET,2
180 MALCOLM X BOULEVARD,3
180 MESEROLE STREET,5
180 MONTAGUE STREET,20
180 MYRTLE AVENUE,12
180 NASSAU STREET,12
180 PROSPECT PARK WEST,7
180 RIVERSIDE BOULEVARD,13
180 SCHOLES STREET,7
180 SOUTH 4 STREET,10
180 WATER STREET,20
180 WEST 20 STREET,12
1800 ALBEMARLE ROAD,1
1800 EAST 12 STREET,3
1803 RIVERSIDE DRIVE,8
181 14 STREET,7
181 16 STREET,6
181 7 AVENUE,14
181 EAST 90 STREET,3
181 EAST 93 STREET,2
181 PRINCE STREET,18
181 SULLIVAN STREET,15
181 WEST 97 STREET,8
1810 3 AVENUE,9
1811 CORNELIA STREET,5
1814 GATES AVENUE,2
1815 PALMETTO STREET,2
1816 GATES AVENUE,2
1818 AVENUE L,1
182 AVENUE B,9
182 CLAREMONT AVENUE,5
182 EAST 111 STREET,11
182 EAST 19 STREET,2
182 EAST 95 STREET,7
182 HURON STREET,7
182 MALCOLM X BOULEVARD,3
182 MONTGOMERY STREET,5
182 NORTH 10 STREET,10
182 WEST 4 STREET,16
182-30 WEXFORD TERRACE,4
1821 EMMONS AVENUE,5
1821 PUTNAM AVENUE,5
1825 CORNELIA STREET,5
1825 PALMETTO STREET,2
1827 NOSTRAND AVENUE,2
1829 MADISON AVENUE,7
183 7 AVENUE,5
183 8 STREET,4
183 BEDFORD AVENUE,5
183 BUFFALO AVENUE,4
183 CHAUNCEY STREET,10
183 PRINCE STREET,18
183 VAN SICKLEN STREET,2
183-11 HILLSIDE AVENUE,3
1830 BROOKLYN AVENUE,2
1831 PAULDING AVENUE,1
1835 KIMBALL STREET,3
184 BAY 26 STREET,4
184 CLASSON AVENUE,7
184 GARFIELD PLACE,3
184 KENT AVENUE,8
184 LEXINGTON AVENUE,15
184 MESEROLE STREET,5
184 NOLL STREET,4
184 THOMPSON STREET,16
1840 EAST 13 STREET,3
1845 ADAM C POWELL BLVD,10
1848 2 AVENUE,5
185 AVENUE B,9
185 COLUMBIA HEIGHTS,20
185 EAST 85 STREET,2
185 FREEMAN STREET,7
185 PLYMOUTH STREET,11
